date,mean.precip.mm
2019-01-01,30.535317336519558
2019-01-02,28.507528760625668
2019-01-03,60.65195890453954
2019-01-04,119.98053304463005
2019-01-05,86.48512897392115
2019-01-06,26.418931112857535
2019-01-07,135.71885859904188
2019-01-08,96.33354898542166
2019-01-09,55.07847168288815
2019-01-10,80.77720700918387
2019-01-11,112.84394273825455
2019-01-12,54.127293204267815
2019-01-13,38.51278434934405
2019-01-14,61.773267326255635
2019-01-15,26.952827349305153
2019-01-16,5.072065289520348
2019-01-17,4.329605330349295
2019-01-18,15.05564487403414
2019-01-19,24.90486613945298
2019-01-20,45.85428539042671
2019-01-21,174.27108037906387
2019-01-22,155.04051853592196
2019-01-23,53.92038541225095
2019-01-24,5.002087388735769
2019-01-25,21.39379974541953
2019-01-26,463.10204119460343
2019-01-27,239.13111500442028
2019-01-28,100.40236456940572
2019-01-29,48.32418427492182
2019-01-30,65.19556712980072
2019-01-31,35.332942133148514
2019-02-01,61.08080476212005
2019-02-02,39.09434983506799
2019-02-03,23.387373921771847
2019-02-04,1.1920458177163105
2019-02-05,0.2777411710970531
2019-02-06,0.880339613062612
2019-02-07,63.55013026938347
2019-02-08,150.22392189130187
2019-02-09,32.79635369156797
2019-02-10,10.902908498731753
2019-02-11,12.106725969351828
2019-02-12,3.2651482266373932
2019-02-13,0.5403012687262769
2019-02-14,0.0641058504091537
2019-02-15,0.8862644402029218
2019-02-16,21.62589457584545
2019-02-17,10.078305859739583
2019-02-18,4.793465939610542
2019-02-19,25.849541489151306
2019-02-20,25.13285901610895
2019-02-21,46.535712536812454
2019-02-22,132.68107670980197
2019-02-23,822.5297762081027
2019-02-24,255.87590190892416
2019-02-25,121.99688429633775
2019-02-26,46.866211729745075
2019-02-27,59.005212023233376
2019-02-28,26.168180288126074
2019-03-01,22.010767195994656
2019-03-02,33.531339606270194
2019-03-03,16.820173431187868
2019-03-04,69.76196848166487
2019-03-05,367.49712359160185
2019-03-06,210.39374601095915
2019-03-07,85.489280646046
2019-03-08,63.25896492538353
2019-03-09,51.052672606116786
2019-03-10,124.99107817808786
2019-03-11,97.43026406504214
2019-03-12,156.2932625412941
2019-03-13,1822.2013372307024
2019-03-14,166.40015682205558
2019-03-15,39.16851254180074
2019-03-16,2.6403841373356345
2019-03-17,1.0897125418826668
2019-03-18,2.2281179594453233
2019-03-19,2.9240766749959826
2019-03-20,32.776701085579894
2019-03-21,70.76109827806552
2019-03-22,156.36932803317904
2019-03-23,154.84743332490325
2019-03-24,107.99186068276563
2019-03-25,33.43800064176321
2019-03-26,59.885125793516636
2019-03-27,67.748345733465
2019-03-28,71.56512504443526
2019-03-29,67.33385209615032
2019-03-30,25.64558226013105
2019-03-31,41.371659856910505
2019-04-01,33.69500666546325
2019-04-02,26.61762850669523
2019-04-03,51.32194375619292
2019-04-04,61.41971884450565
2019-04-05,62.946352742922805
2019-04-06,79.81131836228694
2019-04-07,41.34766759040455
2019-04-08,10.402470351740096
2019-04-09,36.26511549421897
2019-04-10,4.629183700152831
2019-04-11,8.15277067789187
2019-04-12,8.414632391941268
2019-04-13,36.90077800046083
2019-04-14,13.801589623714486
2019-04-15,13.93361201820274
2019-04-16,12.663529118678222
2019-04-17,112.24915819863479
2019-04-18,223.5778248558442
2019-04-19,86.53240437464167
2019-04-20,33.558716283490256
2019-04-21,19.26342932662616
2019-04-22,18.621425059003137
2019-04-23,35.70062544507285
2019-04-24,118.61316783664127
2019-04-25,145.7473431713879
2019-04-26,505.2594774092237
2019-04-27,63.19458583990733
2019-04-28,99.97453650770088
2019-04-29,88.05603315122426
2019-04-30,37.023935765804104
2019-05-01,39.60592024959624
2019-05-02,22.201160129043274
2019-05-03,27.799545536981896
2019-05-04,37.08687484419595
2019-05-05,32.19964564777911
2019-05-06,9.215826374323417
2019-05-07,26.855532937527947
2019-05-08,91.42413106746972
2019-05-09,311.5958030335605
2019-05-10,153.84933647389215
2019-05-11,18.1245202353845
2019-05-12,33.09009761239091
2019-05-13,34.739053435623646
2019-05-14,3.3894742951815715
2019-05-15,15.891854311727608
2019-05-16,19.100385213581223
2019-05-17,7.885975937824696
2019-05-18,18.088887406823535
2019-05-19,14.100598876636164
2019-05-20,28.645650631127257
2019-05-21,46.54367460558812
2019-05-22,19.143559242365882
2019-05-23,41.279262925187744
2019-05-24,38.58479793804387
2019-05-25,51.312523521482944
2019-05-26,139.4139755051583
2019-05-27,207.44655150920153
2019-05-28,44.412608755131565
2019-05-29,89.50733955328663
2019-05-30,15.287008001178037
2019-05-31,2.995808905689046
2019-06-01,4.169139707422194
2019-06-02,78.96003132433785
2019-06-03,280.81130056331557
2019-06-04,73.20040917644899
2019-06-05,43.304075549046196
2019-06-06,22.387792829734586
2019-06-07,33.21606260724366
2019-06-08,23.958975852777563
2019-06-09,41.0059695209687
2019-06-10,157.3249616039296
2019-06-11,34.09612122147034
2019-06-12,24.177109085333846
2019-06-13,24.03848341976603
2019-06-14,94.79581722989678
2019-06-15,111.62133427957694
2019-06-16,50.11822767555714
2019-06-17,76.01213399320841
2019-06-18,7.5759986813257765
2019-06-19,66.53727777714569
2019-06-20,218.3630956026415
2019-06-21,98.70960757446785
2019-06-22,160.89622151727477
2019-06-23,248.70936889201403
2019-06-24,21.305863063995883
2019-06-25,19.54205035387228
2019-06-26,42.61160898022354
2019-06-27,45.39148639887571
2019-06-28,453.5187967742483
2019-06-29,93.91540698707104
2019-06-30,43.03299942985177
2019-07-01,5.795524676796049
2019-07-02,15.92748201219365
2019-07-03,0.9527290860811869
2019-07-04,34.823968509833016
