date,S1.5,S2.5,S3.5,S5.5,S6.5,N1.5,N2.5,N3.5,N4.5,N5.5,S1.14,S2.14,S3.14,S5.14,S6.14,N1.14,N2.14,N3.14,N4.14,N5.14,S1.30,S2.30,S3.30,S5.30,S6.30,N1.30,N2.30,N3.30,N4.30,N5.30
2023-01-01,0.009387007725142869,0.028025201039984106,0.03989872574058695,0.045634644068612486,0.10349746593060047,0.01625244287979046,0.009761863685145408,0.013856922667314269,0.01707887347194022,0.0888138953745246,0.014377437795586666,0.04270827845916548,0.06060577426049908,0.06920950334353415,0.15444273026990837,0.02484669835595943,0.014950070118431993,0.021198143717386805,0.02610431052740447,0.13308438469526257,0.004854937891611506,0.014561022475775282,0.02079134624493467,0.0238144769675541,0.05481757381166125,0.008419836588493691,0.005049273804698245,0.007174591559109445,0.00884977412379259,0.04686053625625107
2023-01-02,0.009480263680415086,0.028300953533250323,0.04028886417718461,0.046079511614351726,0.10447464048372822,0.016413336768528207,0.009858825112664029,0.013994270696511995,0.01724787681279571,0.08965945803039459,0.014519907024303386,0.043125267443453484,0.06119184650041924,0.0698756389005572,0.15585749980104766,0.02509158132732831,0.015098170111797687,0.021407463327968265,0.02636141989338822,0.13431935474102022,0.004903281085512052,0.014705297280745214,0.02099669219685158,0.024049312557563228,0.055349335888513436,0.00850352539974968,0.00509954714187175,0.007245948548883302,0.008937717001626426,0.04731705563228351
2023-01-03,0.009574441609689439,0.028579379192705298,0.04068273607780374,0.0465286093617429,0.10546048813249857,0.016575809997180932,0.009956744776508862,0.014132970322732915,0.01741853765735266,0.09051266467830316,0.014663777484079406,0.04354623446409926,0.061783397805915644,0.0705479399598414,0.1572839889103184,0.025338846311659984,0.015247725844697524,0.021618826939882697,0.026621026839395306,0.13556486660571837,0.0049521044595134504,0.014850990802939522,0.021204044211748065,0.024286434944812023,0.05588610237280119,0.00858804242693253,0.005150319731269952,0.0073180126215466905,0.009026529808835185,0.04777791006363743
2023-01-04,0.009669550538227295,0.028860503132017077,0.041080375548862576,0.04698197541480606,0.10645507497523113,0.016739877799389898,0.010055632049457804,0.014273034650887074,0.017590871964331022,0.09137357640260088,0.014809062745785953,0.04397121561371048,0.06238047566150341,0.07122645871381612,0.15872227051754342,0.025588515850093852,0.01539875139842717,0.021832254054833886,0.026883154932790976,0.1368209923111833,0.005001412759086668,0.014998116777120325,0.021413421446706028,0.024525865819931884,0.05642791730210741,0.008673395794107894,0.0052015965048520995,0.007390790731172004,0.009116221070906155,0.048243138479582705
2023-01-05,0.0097655995778367765,0.029144350684734664,0.041481816975814954,0.04743964817822239,0.10745846739453566,0.016905555550332758,0.010155496394017652,0.014414476909021708,0.01776489584014004,0.09224225461434134,0.014955776507500783,0.04440024727508074,0.06298312788813532,0.07191124769878916,0.16017241750434363,0.025840612684457063,0.015551260985919822,0.022047764351403445,0.027147827949393934,0.13808780400727425,0.005051210776118548,0.015146689066682257,0.021624843232911965,0.024767627067699534,0.05697482504011063,0.008759593703581512,0.005253382442777258,0.0074642898991713474,0.009206799395276523,0.04871278011409497
2023-01-06,0.009862597927666424,0.02943094740588557,0.04188709502476311,0.04790166635882471,0.10847073205362992,0.017072858767929248,0.010256347363243866,0.014557310449398926,0.01794062554012421,0.0931187610495084,0.015103932595615275,0.044833366122752925,0.06359140264400773,0.0726023597951326,0.16163450270167487,0.026095159758794298,0.015705268952884408,0.022265377686468506,0.027415069875036262,0.13936537396343343,0.005101503349356179,0.015296721664769284,0.021838329077059845,0.025011740768538526,0.05752687027771684,0.008846644436623358,0.00530568257386489,0.007538517214927313,0.009298273472088683,0.04918687450731043
2023-01-07,0.009960554875005303,0.02972031907357793,0.0422962446440647,0.048368068967076634,0.10949193589251888,0.017241803114054894,0.010358194601566974,0.014701548749581139,0.018118077469817282,0.09400315776714317,0.015253544965948997,0.045270609124573605,0.06420534842532917,0.07329984822741627,0.16310859887708692,0.026352180220903812,0.015860789778951737,0.022485114096626842,0.027684904907128972,0.1406537745600144,0.005152295364855176,0.015448228695399841,0.022053898662761494,0.02525822920002806,0.058084098034164554,0.008934556354198174,0.005358501976059633,0.007613479836429449,0.009390652074952118,0.049665461506966206
2023-01-08,0.010059479796089772,0.030012491690607067,0.04270930106593374,0.04883889531853694,0.11052214612403194,0.01741240439576267,0.01046104784562569,0.014847205413524345,0.018297268186204228,0.09489550714736847,0.015404627704872572,0.0457120135432379,0.06482501406705075,0.07400376656448346,0.1645947787217008,0.026611697423879564,0.016017838078828454,0.02270699379962938,0.027957357456233005,0.14195307827938655,0.00520359175643221,0.015601224414599432,0.02227157185196453,0.025507114838417656,0.05864655365810204,0.009023337897701872,0.005411845776900255,0.007689184990916035,0.00948394406171136,0.05014858126982554
2023-01-09,0.010159382156916674,0.03030749148606626,0.043126299808035014,0.04931418503531121,0.11156143022971601,0.017584678566512704,0.0105649169251067,0.014994294172679223,0.018478214398991222,0.09579587188930866,0.015557195030438002,0.0461576169378243,0.06545044874355718,0.07471416871947131,0.16609311483690095,0.026873734927659296,0.016176428603458984,0.022931037195820046,0.028232452147635676,0.1432633576968109,0.005255397506121502,0.01575572321154156,0.02249136868637768,0.025758420360148932,0.05921428282863603,0.009112997589704398,0.005465719153992865,0.007765639975521617,0.009578158375220594,0.05063627426308717
2023-01-10,0.010260271514063451,0.030605344916961617,0.043547276675071356,0.049793978047487565,0.11260985595558146,0.017758641727409985,0.010669811763591384,0.015142828887100088,0.018660932971883582,0.09670431500890257,0.015711261293517357,0.046607457165318895,0.06608170196931727,0.07543110894977065,0.1676036797207382,0.027138316500578512,0.01633657624119551,0.02315726486958291,0.028510213822932232,0.14458468547108536,0.005307717644635621,0.015911739609696218,0.02271330938890351,0.02601216864338304,0.05978733155635076,0.009203544034698552,0.005520127335488455,0.007842852157929939,0.009673304044124432,0.0511285812657783
