day,site_code,age,prob.inf
1,S1,1,0.0011013885274376862
1,S1,2,0.0011952993009597228
1,S1,3,0.00129636516058214
1,S1,4,0.0014039001631688548
1,S1,5,0.0015168286603069795
1,S1,6,0.001633895754135463
1,S1,7,0.001753670678792575
1,S1,8,0.0018742444604144676
1,S1,9,0.001992662263414319
1,S1,10,0.002104311264789068
1,S1,11,0.00220249669716242
1,S1,12,0.0022785944890504764
1,S1,13,0.002323209081422733
1,S1,14,0.0023281389549674346
1,S1,15,0.002288837508233427
1,S1,16,0.002206092638563511
1,S1,17,0.0020857300664360577
1,S1,18,0.001937757085089688
1,S1,19,0.0017742413873257981
1,S1,20,0.001607338618623677
1,S1,21,0.0014472790376937876
1,S1,22,0.0013013480939436373
1,S1,23,0.0011738266783117863
1,S1,24,0.0010664347524003063
1,S1,25,9.789069571317362e-4
1,S1,26,9.100291054717326e-4
1,S1,27,8.580082224147583e-4
1,S1,28,8.207998485727699e-4
1,S1,29,7.963883519798729e-4
1,S1,30,7.830013759345104e-4
1,S1,31,7.789782619726666e-4
1,S1,32,7.825563336754318e-4
1,S1,33,7.918114090706718e-4
1,S1,34,8.047268621298723e-4
1,S1,35,8.192381227811827e-4
1,S1,36,8.332738113800142e-4
1,S1,37,8.447903684092491e-4
1,S1,38,8.519325339124567e-4
1,S1,39,8.532728084055669e-4
1,S1,40,8.480326605879365e-4
1,S1,41,8.362539832716698e-4
1,S1,42,8.185973117623389e-4
1,S1,43,7.960705008651961e-4
1,S1,44,7.698661761042154e-4
1,S1,45,7.413077935170913e-4
1,S1,46,7.116848678345323e-4
1,S1,47,6.821596859982609e-4
1,S1,48,6.537180035894895e-4
1,S1,49,6.271397529593005e-4
1,S1,50,6.029559573557076e-4
1,S1,51,5.814772500671651e-4
1,S1,52,5.62811004416379e-4
1,S1,53,5.469430347234801e-4
1,S1,54,5.337977163440171e-4
1,S1,55,5.232129558477318e-4
1,S1,56,5.149290436497386e-4
1,S1,57,5.086268935702075e-4
1,S1,58,5.039736680753414e-4
1,S1,59,5.006490130840391e-4
1,S1,60,4.983491465578169e-4
1,S1,61,4.967900263420715e-4
1,S1,62,4.957205212358175e-4
1,S1,63,4.949566684280559e-4
1,S1,64,4.943938499199167e-4
1,S1,65,4.939926998002133e-4
1,S1,66,4.937772415820462e-4
